Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011368 | lrm: 1.00 | dt: 1259ms | tok/sec: 104,135 | mfu: 2.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.155124 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,613 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.077162 | lrm: 1.00 | dt: 1095ms | tok/sec: 119,730 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.776275 | lrm: 1.00 | dt: 1428ms | tok/sec: 91,803 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.465982 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,437 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.158645 | lrm: 1.00 | dt: 1113ms | tok/sec: 117,793 | mfu: 2.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.933549 | lrm: 1.00 | dt: 1069ms | tok/sec: 122,631 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.716177 | lrm: 1.00 | dt: 1107ms | tok/sec: 118,375 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.506276 | lrm: 1.00 | dt: 1071ms | tok/sec: 122,420 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.308261 | lrm: 1.00 | dt: 1121ms | tok/sec: 116,959 | mfu: 2.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.120604 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,485 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.968511 | lrm: 1.00 | dt: 1098ms | tok/sec: 119,387 | mfu: 2.9% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 6.842667 | lrm: 1.00 | dt: 1102ms | tok/sec: 118,912 | mfu: 2.9% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 6.719059 | lrm: 1.00 | dt: 1120ms | tok/sec: 117,044 | mfu: 2.8% | epoch: 1 | remaining: 297s    
step 00031 (7.4%) | loss: 5.650310 | lrm: 1.00 | dt: 1116ms | tok/sec: 117,464 | mfu: 2.8% | epoch: 1 | remaining: 277s    
step 00032 (7.8%) | loss: 5.608161 | lrm: 1.00 | dt: 1085ms | tok/sec: 120,848 | mfu: 2.9% | epoch: 1 | remaining: 276s    
step 00033 (8.1%) | loss: 5.578665 | lrm: 1.00 | dt: 1084ms | tok/sec: 120,907 | mfu: 2.9% | epoch: 1 | remaining: 274s    
step 00034 (8.5%) | loss: 5.539789 | lrm: 1.00 | dt: 1055ms | tok/sec: 124,274 | mfu: 3.0% | epoch: 1 | remaining: 273s    
step 00035 (8.9%) | loss: 5.515944 | lrm: 1.00 | dt: 1090ms | tok/sec: 120,291 | mfu: 2.9% | epoch: 1 | remaining: 272s    
step 00036 (9.2%) | loss: 5.490758 | lrm: 1.00 | dt: 1092ms | tok/sec: 119,997 | mfu: 2.9% | epoch: 1 | remaining: 271s    
step 00037 (9.6%) | loss: 5.451864 | lrm: 1.00 | dt: 1109ms | tok/sec: 118,137 | mfu: 2.9% | epoch: 1 | remaining: 270s    
step 00038 (10.0%) | loss: 5.429220 | lrm: 1.00 | dt: 1095ms | tok/sec: 119,703 | mfu: 2.9% | epoch: 1 | remaining: 269s    
step 00039 (10.3%) | loss: 5.393290 | lrm: 1.00 | dt: 1098ms | tok/sec: 119,425 | mfu: 2.9% | epoch: 1 | remaining: 268s    
step 00040 (10.7%) | loss: 5.360606 | lrm: 1.00 | dt: 1098ms | tok/sec: 119,338 | mfu: 2.9% | epoch: 1 | remaining: 267s    
step 00041 (11.0%) | loss: 5.347586 | lrm: 1.00 | dt: 1100ms | tok/sec: 119,109 | mfu: 2.9% | epoch: 1 | remaining: 266s    
step 00042 (11.4%) | loss: 5.323164 | lrm: 1.00 | dt: 1085ms | tok/sec: 120,774 | mfu: 2.9% | epoch: 1 | remaining: 265s    
step 00043 (11.8%) | loss: 5.288660 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,570 | mfu: 2.9% | epoch: 1 | remaining: 264s    
step 00044 (12.1%) | loss: 5.268265 | lrm: 1.00 | dt: 1091ms | tok/sec: 120,110 | mfu: 2.9% | epoch: 1 | remaining: 262s    
step 00045 (12.5%) | loss: 5.238361 | lrm: 1.00 | dt: 1084ms | tok/sec: 120,903 | mfu: 2.9% | epoch: 1 | remaining: 261s    
step 00046 (12.9%) | loss: 5.216164 | lrm: 1.00 | dt: 1072ms | tok/sec: 122,310 | mfu: 3.0% | epoch: 1 | remaining: 260s    
step 00047 (13.2%) | loss: 5.188806 | lrm: 1.00 | dt: 1080ms | tok/sec: 121,309 | mfu: 2.9% | epoch: 1 | remaining: 259s    
step 00048 (13.6%) | loss: 5.173068 | lrm: 1.00 | dt: 1093ms | tok/sec: 119,865 | mfu: 2.9% | epoch: 1 | remaining: 258s    
step 00049 (14.0%) | loss: 5.158892 | lrm: 1.00 | dt: 1147ms | tok/sec: 114,257 | mfu: 2.8% | epoch: 1 | remaining: 257s    
step 00050 (14.3%) | loss: 5.136485 | lrm: 1.00 | dt: 1082ms | tok/sec: 121,176 | mfu: 2.9% | epoch: 1 | remaining: 256s    
step 00051 (14.7%) | loss: 5.099086 | lrm: 1.00 | dt: 1113ms | tok/sec: 117,805 | mfu: 2.8% | epoch: 1 | remaining: 255s    
step 00052 (15.1%) | loss: 5.074652 | lrm: 1.00 | dt: 1112ms | tok/sec: 117,852 | mfu: 2.8% | epoch: 1 | remaining: 254s    
step 00053 (15.4%) | loss: 5.057417 | lrm: 1.00 | dt: 1136ms | tok/sec: 115,384 | mfu: 2.8% | epoch: 1 | remaining: 253s    
step 00054 (15.8%) | loss: 5.029952 | lrm: 1.00 | dt: 1119ms | tok/sec: 117,164 | mfu: 2.8% | epoch: 1 | remaining: 251s    
step 00055 (16.2%) | loss: 5.013670 | lrm: 1.00 | dt: 1153ms | tok/sec: 113,706 | mfu: 2.7% | epoch: 1 | remaining: 250s    
step 00056 (16.6%) | loss: 5.005614 | lrm: 1.00 | dt: 1103ms | tok/sec: 118,788 | mfu: 2.9% | epoch: 1 | remaining: 249s    
step 00057 (16.9%) | loss: 4.982703 | lrm: 1.00 | dt: 1145ms | tok/sec: 114,476 | mfu: 2.8% | epoch: 1 | remaining: 248s    
step 00058 (17.3%) | loss: 4.950749 | lrm: 1.00 | dt: 1062ms | tok/sec: 123,474 | mfu: 3.0% | epoch: 1 | remaining: 247s    
step 00059 (17.7%) | loss: 4.929471 | lrm: 1.00 | dt: 1076ms | tok/sec: 121,766 | mfu: 2.9% | epoch: 1 | remaining: 246s    
step 00060 (18.0%) | loss: 4.910366 | lrm: 1.00 | dt: 1057ms | tok/sec: 124,026 | mfu: 3.0% | epoch: 1 | remaining: 245s    
step 00061 (18.4%) | loss: 4.883839 | lrm: 1.00 | dt: 1104ms | tok/sec: 118,738 | mfu: 2.9% | epoch: 1 | remaining: 244s    
step 00062 (18.8%) | loss: 4.869107 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,521 | mfu: 2.9% | epoch: 1 | remaining: 243s    
step 00063 (19.1%) | loss: 4.851304 | lrm: 1.00 | dt: 1102ms | tok/sec: 118,981 | mfu: 2.9% | epoch: 1 | remaining: 242s    
step 00064 (19.5%) | loss: 4.840192 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,637 | mfu: 2.9% | epoch: 1 | remaining: 240s    
step 00065 (19.9%) | loss: 4.815883 | lrm: 1.00 | dt: 1121ms | tok/sec: 116,892 | mfu: 2.8% | epoch: 1 | remaining: 239s    
step 00066 (20.2%) | loss: 4.797312 | lrm: 1.00 | dt: 1104ms | tok/sec: 118,735 | mfu: 2.9% | epoch: 1 | remaining: 238s    
step 00067 (20.6%) | loss: 4.777794 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,615 | mfu: 2.9% | epoch: 1 | remaining: 237s    
step 00068 (21.0%) | loss: 4.767206 | lrm: 1.00 | dt: 1075ms | tok/sec: 121,926 | mfu: 2.9% | epoch: 1 | remaining: 236s    
step 00069 (21.3%) | loss: 4.737096 | lrm: 1.00 | dt: 1114ms | tok/sec: 117,700 | mfu: 2.8% | epoch: 1 | remaining: 235s    
step 00070 (21.7%) | loss: 4.717463 | lrm: 1.00 | dt: 1098ms | tok/sec: 119,423 | mfu: 2.9% | epoch: 1 | remaining: 234s    
step 00071 (22.1%) | loss: 4.689215 | lrm: 1.00 | dt: 1102ms | tok/sec: 118,977 | mfu: 2.9% | epoch: 1 | remaining: 233s    
step 00072 (22.4%) | loss: 4.662617 | lrm: 1.00 | dt: 1083ms | tok/sec: 120,973 | mfu: 2.9% | epoch: 1 | remaining: 232s    
step 00073 (22.8%) | loss: 4.639582 | lrm: 1.00 | dt: 1459ms | tok/sec: 89,860 | mfu: 2.2% | epoch: 1 | remaining: 230s    
step 00074 (23.3%) | loss: 4.631282 | lrm: 1.00 | dt: 1117ms | tok/sec: 117,349 | mfu: 2.8% | epoch: 1 | remaining: 229s    
step 00075 (23.6%) | loss: 4.611114 | lrm: 1.00 | dt: 1126ms | tok/sec: 116,435 | mfu: 2.8% | epoch: 1 | remaining: 228s    
step 00076 (24.0%) | loss: 4.594506 | lrm: 1.00 | dt: 1088ms | tok/sec: 120,477 | mfu: 2.9% | epoch: 1 | remaining: 227s    
step 00077 (24.4%) | loss: 4.581715 | lrm: 1.00 | dt: 1150ms | tok/sec: 113,946 | mfu: 2.8% | epoch: 1 | remaining: 226s    
step 00078 (24.8%) | loss: 4.570442 | lrm: 1.00 | dt: 1094ms | tok/sec: 119,783 | mfu: 2.9% | epoch: 1 | remaining: 225s    
step 00079 (25.1%) | loss: 4.552050 | lrm: 1.00 | dt: 1104ms | tok/sec: 118,732 | mfu: 2.9% | epoch: 1 | remaining: 224s    
step 00080 (25.5%) | loss: 4.523981 | lrm: 1.00 | dt: 1079ms | tok/sec: 121,461 | mfu: 2.9% | epoch: 1 | remaining: 222s    
step 00081 (25.9%) | loss: 4.498354 | lrm: 1.00 | dt: 1087ms | tok/sec: 120,575 | mfu: 2.9% | epoch: 1 | remaining: 221s    
step 00082 (26.2%) | loss: 4.489011 | lrm: 1.00 | dt: 1069ms | tok/sec: 122,657 | mfu: 3.0% | epoch: 1 | remaining: 220s    
step 00083 (26.6%) | loss: 4.467492 | lrm: 1.00 | dt: 1084ms | tok/sec: 120,944 | mfu: 2.9% | epoch: 1 | remaining: 219s    
step 00084 (26.9%) | loss: 4.442478 | lrm: 1.00 | dt: 1073ms | tok/sec: 122,206 | mfu: 3.0% | epoch: 1 | remaining: 218s    
step 00085 (27.3%) | loss: 4.423752 | lrm: 1.00 | dt: 1104ms | tok/sec: 118,721 | mfu: 2.9% | epoch: 1 | remaining: 217s    
step 00086 (27.7%) | loss: 4.393175 | lrm: 1.00 | dt: 1092ms | tok/sec: 119,994 | mfu: 2.9% | epoch: 1 | remaining: 216s    
step 00087 (28.0%) | loss: 4.364059 | lrm: 1.00 | dt: 1108ms | tok/sec: 118,293 | mfu: 2.9% | epoch: 1 | remaining: 215s    
step 00088 (28.4%) | loss: 4.340600 | lrm: 1.00 | dt: 1098ms | tok/sec: 119,364 | mfu: 2.9% | epoch: 1 | remaining: 214s    
step 00089 (28.8%) | loss: 4.325413 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,488 | mfu: 2.9% | epoch: 1 | remaining: 213s    
step 00090 (29.1%) | loss: 4.302049 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,557 | mfu: 2.9% | epoch: 1 | remaining: 212s    
step 00091 (29.5%) | loss: 4.293909 | lrm: 1.00 | dt: 1160ms | tok/sec: 112,998 | mfu: 2.7% | epoch: 1 | remaining: 210s    
step 00092 (29.9%) | loss: 4.271732 | lrm: 1.00 | dt: 1117ms | tok/sec: 117,326 | mfu: 2.8% | epoch: 1 | remaining: 209s    
step 00093 (30.2%) | loss: 4.260030 | lrm: 1.00 | dt: 1147ms | tok/sec: 114,236 | mfu: 2.8% | epoch: 1 | remaining: 208s    
step 00094 (30.6%) | loss: 4.262834 | lrm: 1.00 | dt: 1148ms | tok/sec: 114,195 | mfu: 2.8% | epoch: 1 | remaining: 207s    
step 00095 (31.0%) | loss: 4.240984 | lrm: 1.00 | dt: 1233ms | tok/sec: 106,317 | mfu: 2.6% | epoch: 1 | remaining: 206s    
step 00096 (31.4%) | loss: 4.251544 | lrm: 1.00 | dt: 1149ms | tok/sec: 114,042 | mfu: 2.8% | epoch: 1 | remaining: 205s    
step 00097 (31.8%) | loss: 4.242184 | lrm: 1.00 | dt: 1149ms | tok/sec: 114,085 | mfu: 2.8% | epoch: 1 | remaining: 203s    
step 00098 (32.2%) | loss: 4.232311 | lrm: 1.00 | dt: 1072ms | tok/sec: 122,214 | mfu: 3.0% | epoch: 1 | remaining: 202s    
step 00099 (32.5%) | loss: 4.198440 | lrm: 1.00 | dt: 1090ms | tok/sec: 120,212 | mfu: 2.9% | epoch: 1 | remaining: 201s    
step 00100 (32.9%) | loss: 4.182727 | lrm: 1.00 | dt: 1081ms | tok/sec: 121,300 | mfu: 2.9% | epoch: 1 | remaining: 200s    
step 00101 (33.3%) | loss: 4.182286 | lrm: 1.00 | dt: 1101ms | tok/sec: 119,059 | mfu: 2.9% | epoch: 1 | remaining: 199s    
step 00102 (33.6%) | loss: 4.181954 | lrm: 1.00 | dt: 1099ms | tok/sec: 119,290 | mfu: 2.9% | epoch: 1 | remaining: 198s    
step 00103 (34.0%) | loss: 4.181649 | lrm: 1.00 | dt: 1104ms | tok/sec: 118,721 | mfu: 2.9% | epoch: 1 | remaining: 197s    
step 00104 (34.4%) | loss: 4.170849 | lrm: 1.00 | dt: 1080ms | tok/sec: 121,404 | mfu: 2.9% | epoch: 1 | remaining: 196s    
step 00105 (34.7%) | loss: 4.148268 | lrm: 1.00 | dt: 1083ms | tok/sec: 121,023 | mfu: 2.9% | epoch: 1 | remaining: 195s    
step 00106 (35.1%) | loss: 4.145717 | lrm: 1.00 | dt: 1100ms | tok/sec: 119,135 | mfu: 2.9% | epoch: 1 | remaining: 194s    
step 00107 (35.5%) | loss: 4.121128 | lrm: 1.00 | dt: 1091ms | tok/sec: 120,124 | mfu: 2.9% | epoch: 1 | remaining: 193s    
step 00108 (35.8%) | loss: 4.106088 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,585 | mfu: 2.9% | epoch: 1 | remaining: 191s    
step 00109 (36.2%) | loss: 4.086037 | lrm: 1.00 | dt: 1088ms | tok/sec: 120,525 | mfu: 2.9% | epoch: 1 | remaining: 190s    
step 00110 (36.6%) | loss: 4.084173 | lrm: 1.00 | dt: 1081ms | tok/sec: 121,279 | mfu: 2.9% | epoch: 1 | remaining: 189s    
step 00111 (36.9%) | loss: 4.058054 | lrm: 1.00 | dt: 1099ms | tok/sec: 119,234 | mfu: 2.9% | epoch: 1 | remaining: 188s    
step 00112 (37.3%) | loss: 4.058046 | lrm: 1.00 | dt: 1081ms | tok/sec: 121,201 | mfu: 2.9% | epoch: 1 | remaining: 187s    
step 00113 (37.6%) | loss: 4.057620 | lrm: 1.00 | dt: 1134ms | tok/sec: 115,605 | mfu: 2.8% | epoch: 1 | remaining: 186s    
step 00114 (38.0%) | loss: 4.044963 | lrm: 1.00 | dt: 1123ms | tok/sec: 116,721 | mfu: 2.8% | epoch: 1 | remaining: 185s    
step 00115 (38.4%) | loss: 4.037228 | lrm: 1.00 | dt: 1081ms | tok/sec: 121,203 | mfu: 2.9% | epoch: 1 | remaining: 184s    
step 00116 (38.8%) | loss: 4.026972 | lrm: 1.00 | dt: 1085ms | tok/sec: 120,850 | mfu: 2.9% | epoch: 1 | remaining: 183s    
step 00117 (39.1%) | loss: 4.001050 | lrm: 1.00 | dt: 1094ms | tok/sec: 119,761 | mfu: 2.9% | epoch: 1 | remaining: 182s    
step 00118 (39.5%) | loss: 3.986990 | lrm: 1.00 | dt: 1107ms | tok/sec: 118,428 | mfu: 2.9% | epoch: 1 | remaining: 180s    
step 00119 (39.8%) | loss: 3.986916 | lrm: 1.00 | dt: 1122ms | tok/sec: 116,824 | mfu: 2.8% | epoch: 1 | remaining: 179s    
step 00120 (40.2%) | loss: 3.982186 | lrm: 1.00 | dt: 1099ms | tok/sec: 119,217 | mfu: 2.9% | epoch: 1 | remaining: 178s    
step 00121 (40.6%) | loss: 3.968015 | lrm: 1.00 | dt: 1083ms | tok/sec: 121,004 | mfu: 2.9% | epoch: 1 | remaining: 177s    
step 00122 (40.9%) | loss: 3.953801 | lrm: 1.00 | dt: 1113ms | tok/sec: 117,805 | mfu: 2.8% | epoch: 1 | remaining: 176s    
step 00123 (41.3%) | loss: 3.937660 | lrm: 1.00 | dt: 1129ms | tok/sec: 116,095 | mfu: 2.8% | epoch: 1 | remaining: 175s    
step 00124 (41.7%) | loss: 3.914760 | lrm: 1.00 | dt: 1079ms | tok/sec: 121,479 | mfu: 2.9% | epoch: 1 | remaining: 174s    
step 00125 (42.1%) | loss: 3.898905 | lrm: 1.00 | dt: 1105ms | tok/sec: 118,632 | mfu: 2.9% | epoch: 1 | remaining: 173s    
step 00126 (42.4%) | loss: 3.897784 | lrm: 1.00 | dt: 1106ms | tok/sec: 118,535 | mfu: 2.9% | epoch: 1 | remaining: 172s    
step 00127 (42.8%) | loss: 3.898790 | lrm: 1.00 | dt: 1113ms | tok/sec: 117,780 | mfu: 2.8% | epoch: 1 | remaining: 171s    
step 00128 (43.2%) | loss: 3.904457 | lrm: 1.00 | dt: 1087ms | tok/sec: 120,539 | mfu: 2.9% | epoch: 1 | remaining: 169s    
step 00129 (43.5%) | loss: 3.880823 | lrm: 1.00 | dt: 1085ms | tok/sec: 120,808 | mfu: 2.9% | epoch: 1 | remaining: 168s    
step 00130 (43.9%) | loss: 3.895257 | lrm: 1.00 | dt: 1100ms | tok/sec: 119,130 | mfu: 2.9% | epoch: 1 | remaining: 167s    
step 00131 (44.3%) | loss: 3.898714 | lrm: 1.00 | dt: 1112ms | tok/sec: 117,850 | mfu: 2.8% | epoch: 1 | remaining: 166s    
step 00132 (44.6%) | loss: 3.885630 | lrm: 1.00 | dt: 1135ms | tok/sec: 115,472 | mfu: 2.8% | epoch: 1 | remaining: 165s    
step 00133 (45.0%) | loss: 3.882701 | lrm: 1.00 | dt: 1153ms | tok/sec: 113,704 | mfu: 2.7% | epoch: 1 | remaining: 164s    
step 00134 (45.4%) | loss: 3.890537 | lrm: 1.00 | dt: 1100ms | tok/sec: 119,167 | mfu: 2.9% | epoch: 1 | remaining: 163s    
step 00135 (45.8%) | loss: 3.883670 | lrm: 1.00 | dt: 1114ms | tok/sec: 117,695 | mfu: 2.8% | epoch: 1 | remaining: 162s    
step 00136 (46.1%) | loss: 3.872513 | lrm: 1.00 | dt: 1148ms | tok/sec: 114,132 | mfu: 2.8% | epoch: 1 | remaining: 160s    
step 00137 (46.5%) | loss: 3.821620 | lrm: 1.00 | dt: 1187ms | tok/sec: 110,382 | mfu: 2.7% | epoch: 1 | remaining: 159s    
step 00138 (46.9%) | loss: 3.824844 | lrm: 1.00 | dt: 1106ms | tok/sec: 118,458 | mfu: 2.9% | epoch: 1 | remaining: 158s    
step 00139 (47.3%) | loss: 3.816873 | lrm: 1.00 | dt: 1142ms | tok/sec: 114,768 | mfu: 2.8% | epoch: 1 | remaining: 157s    
step 00140 (47.7%) | loss: 3.801899 | lrm: 1.00 | dt: 1112ms | tok/sec: 117,871 | mfu: 2.8% | epoch: 1 | remaining: 156s    
step 00141 (48.0%) | loss: 3.815160 | lrm: 1.00 | dt: 1158ms | tok/sec: 113,161 | mfu: 2.7% | epoch: 1 | remaining: 155s    
step 00142 (48.4%) | loss: 3.830572 | lrm: 1.00 | dt: 1219ms | tok/sec: 107,528 | mfu: 2.6% | epoch: 1 | remaining: 154s    
step 00143 (48.8%) | loss: 3.820476 | lrm: 1.00 | dt: 1224ms | tok/sec: 107,060 | mfu: 2.6% | epoch: 1 | remaining: 152s    
step 00144 (49.2%) | loss: 3.814280 | lrm: 1.00 | dt: 1174ms | tok/sec: 111,641 | mfu: 2.7% | epoch: 1 | remaining: 151s    
step 00145 (49.6%) | loss: 3.816897 | lrm: 1.00 | dt: 1176ms | tok/sec: 111,469 | mfu: 2.7% | epoch: 1 | remaining: 150s    
step 00146 (50.0%) | loss: 3.804786 | lrm: 1.00 | dt: 1100ms | tok/sec: 119,166 | mfu: 2.9% | epoch: 1 | remaining: 149s    
step 00147 (50.4%) | loss: 3.781634 | lrm: 0.99 | dt: 1111ms | tok/sec: 117,999 | mfu: 2.9% | epoch: 1 | remaining: 148s    
step 00148 (50.7%) | loss: 3.788795 | lrm: 0.99 | dt: 1143ms | tok/sec: 114,683 | mfu: 2.8% | epoch: 1 | remaining: 147s    
step 00149 (51.1%) | loss: 3.789909 | lrm: 0.98 | dt: 1187ms | tok/sec: 110,439 | mfu: 2.7% | epoch: 1 | remaining: 145s    
step 00150 (51.5%) | loss: 3.798931 | lrm: 0.97 | dt: 1142ms | tok/sec: 114,726 | mfu: 2.8% | epoch: 1 | remaining: 144s    
step 00151 (51.9%) | loss: 3.804544 | lrm: 0.96 | dt: 1143ms | tok/sec: 114,630 | mfu: 2.8% | epoch: 1 | remaining: 143s    
step 00152 (52.3%) | loss: 3.790889 | lrm: 0.95 | dt: 1120ms | tok/sec: 117,046 | mfu: 2.8% | epoch: 1 | remaining: 142s    
step 00153 (52.7%) | loss: 3.795894 | lrm: 0.95 | dt: 1111ms | tok/sec: 117,982 | mfu: 2.9% | epoch: 1 | remaining: 141s    
